level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5,country,Switzerland,5483.889545,2642.27784,411.0309909,-83.2419702,3366.991058,2222.466532,3078.454058,6635.798003,8940.757754,11718.59189,19854.57474,9389.136116,6864.257255,17305.4617,1845.838359,-266.9493566,44598.43361,33538.24238,16214.86619,29934.89716,29875.9404,26414.90267,29482.97401,1154.920703,9340.071712,84319.60069,150241.1681,111200.6185,-83154.74325,-105806.7942,-162703.5961,1016.436105
5,country,Ukraine,0,0,200,200,159,267,521,623,743,496,595,792,693,1424,1715,7808,5604,9891,10913,4816,6495,7207,8401,4499,410,-331,4055,3727,4732,6017,-36,6549
5,country,United Kingdom,30461.116,14846.168,17236.65875,16956.70237,10235.26729,23589.64,28448.04184,33128.36833,65062.00482,90033.76711,115304.0181,35948.78033,19683.07447,16590.14616,61219.74441,182927.9379,147372.4303,176838.6384,92158.33343,89709.13776,58200.28153,42200.40023,55446.12011,51675.89032,24690.24073,39185.7001,258698.6755,96353.8315,87837.47725,45454.3714,18193.58974,27561.49725
5,country,Yugoslavia (former),67,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,region,North America,56004.276,25679.957,23945.744,55394.586,53299.115,68026.772,94088.764,114923.1838,197237.446,308120.0652,380802.0522,187124.4211,96612.45587,60628.24546,135380.9646,130464.5561,297429.9102,332772.594,367918.5191,166303.6763,226449.4426,269531.2979,242145.0061,270761.2412,260738.2048,511460.9699,495474.8742,331722.8459,240895.9247,275257.4958,174003.581,427051.7098
4,country,Canada,7582.276,2880.957,4723.744,4731.586,8204.115,9254.772,9633.764,11525.1838,22803.446,24744.06521,66795.05222,27663.42106,22155.45587,7482.245459,-445.0354337,25691.55608,60293.91022,116820.594,61552.51912,22699.67632,28400.44265,39669.29788,43111.00614,69368.24121,59005.2048,43835.96994,36055.87423,22766.84593,37661.92475,50149.49581,23175.58101,59675.70982
4,country,United States,48422,22799,19222,50663,45095,58772,84455,103398,174434,283376,314007,159461,74457,53146,135826,104773,237136,215952,306366,143604,198049,229862,199034,201393,201733,467625,459419,308956,203234,225108,150828,367376
3,region,Other developed economies,12577.91384,8535.670022,10628.65368,7781.325981,9879.380424,18633.88479,14175.80028,18230.7235,18605.8048,30503.95082,42394.01488,22152.71378,32300.81838,20219.70606,65940.13026,-5809.023004,47332.98499,85853.59338,95994.02917,58090.83911,52195.12338,79579.79157,83370.96784,85595.53049,88292.57245,47544.37435,94913.46148,92710.1627,114375.2133,84442.48236,64399.75467,99654.89246
4,country,Australia,7904.391676,4055.275129,5479.381633,4054.917854,4762.566258,11678.76178,5629.724696,7762.472354,5528.856725,1847.15636,14190.96375,7825.430321,14246.20768,6338.891375,39611.69333,-28294.65356,26313.84745,41479.5786,46905.66861,31893.08917,36795.51625,58931.59409,59574.38437,56765.52363,58506.70657,29580.2688,48401.36484,46114.2279,68322.01146,39406.13428,16726.48193,25085.18476
4,country,Bermuda,0,0,0,0,0,0,0,34.7,102.7,60.5,66.9,41.7999999,5.4,12.9,831.6,43.7,261,610.6,78.17,-70.384,230.73,-257.87,47.61,54.9,-3.425,-143.094,82,-288.109271,95.4163715,4.9853965,111.935757,0.7925609
